N,Structure,Operation,Avg_Operations
10,FenwickTree,Build,23
10,FenwickTree,Query,3
10,FenwickTree,Update,2
10,SparseTable,Build,29
10,SparseTable,Query,1
50,FenwickTree,Build,163
50,FenwickTree,Query,5
50,FenwickTree,Update,3
50,SparseTable,Build,243
50,SparseTable,Query,1
100,FenwickTree,Build,376
100,FenwickTree,Query,6
100,FenwickTree,Update,3
100,SparseTable,Build,580
100,SparseTable,Query,1
200,FenwickTree,Build,852
200,FenwickTree,Query,7
200,FenwickTree,Update,4
200,SparseTable,Build,1353
200,SparseTable,Query,1
500,FenwickTree,Build,2280
500,FenwickTree,Query,8
500,FenwickTree,Update,4
500,SparseTable,Build,3998
500,SparseTable,Query,1
1000,FenwickTree,Build,5060
1000,FenwickTree,Query,9
1000,FenwickTree,Update,5
1000,SparseTable,Build,8987
1000,SparseTable,Query,1
2000,FenwickTree,Build,11120
2000,FenwickTree,Query,10
2000,FenwickTree,Update,5
2000,SparseTable,Build,19964
2000,SparseTable,Query,1
5000,FenwickTree,Build,33364
5000,FenwickTree,Query,11
5000,FenwickTree,Update,6
5000,SparseTable,Build,56822
5000,SparseTable,Query,1
